name,filename_1,filename_2,genotype
eGFP1,HW2T7BGXJ_eGFP1_21s002993-1-1_Mielnicka_lane121s002993_1_sequence,HW2T7BGXJ_eGFP1_21s002993-1-1_Mielnicka_lane121s002993_2_sequence,KO
eGFP4,HW2T7BGXJ_eGFP4_21s002996-1-1_Mielnicka_lane121s002996_1_sequence,HW2T7BGXJ_eGFP4_21s002996-1-1_Mielnicka_lane121s002996_2_sequence,KO
eGFP5,HW2T7BGXJ_eGFP5_21s002997-1-1_Mielnicka_lane121s002997_1_sequence,HW2T7BGXJ_eGFP5_21s002997-1-1_Mielnicka_lane121s002997_2_sequence,KO
eGFP7,HW2T7BGXJ_eGFP7_21s002999-1-1_Mielnicka_lane121s002999_1_sequence,HW2T7BGXJ_eGFP7_21s002999-1-1_Mielnicka_lane121s002999_2_sequence,WT
eGFP8,HW2T7BGXJ_eGFP8_21s003000-1-1_Mielnicka_lane121s003000_1_sequence,HW2T7BGXJ_eGFP8_21s003000-1-1_Mielnicka_lane121s003000_2_sequence,WT
eGFP9,HW2T7BGXJ_eGFP9_21s003001-1-1_Mielnicka_lane121s003001_1_sequence,HW2T7BGXJ_eGFP9_21s003001-1-1_Mielnicka_lane121s003001_2_sequence,WT
eGFP10,HW2T7BGXJ_eGFP10_21s003002-1-1_Mielnicka_lane121s003002_1_sequence,HW2T7BGXJ_eGFP10_21s003002-1-1_Mielnicka_lane121s003002_2_sequence,WT
eGFP11,HW2T7BGXJ_eGFP11_21s003003-1-1_Mielnicka_lane121s003003_1_sequence,HW2T7BGXJ_eGFP11_21s003003-1-1_Mielnicka_lane121s003003_2_sequence,WT
